Place_ID,Tour_Guide,Disabled_Accessibility,Phone_Allowed,Network_Availability,DSLR_Allowed,Restroom_Facility,Parking_Availability,Outside_Food_Allowed
1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Yes,No,Yes,Yes,Yes,No,Yes,No
3,Yes,Yes,No,Yes,No,No,Yes,No
4,No,Yes,Yes,Yes,Yes,No,No,No
5,No,No,Yes,Yes,Yes,No,No,No
6,No,Yes,Yes,Yes,Yes,No,No,No
7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9,Yes,No,Yes,Yes,Yes,No,Yes,No
10,No,Yes,Yes,Yes,Yes,No,No,No
11,No,No,Yes,Yes,Yes,No,No,No
12,No,Yes,Yes,Yes,Yes,No,No,No
13,No,Yes,Yes,Yes,Yes,No,No,No
14,No,No,Yes,Yes,Yes,No,No,No
15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
16,No,No,Yes,Yes,Yes,No,No,No
17,No,No,Yes,Yes,Yes,Yes,No,No
18,Yes,No,Yes,Yes,Yes,Yes,Yes,No
19,Yes,No,Yes,Yes,Yes,No,Yes,No
20,No,Yes,Yes,Yes,Yes,Yes,No,No
21,Yes,Yes,No,Yes,No,Yes,Yes,No
22,Yes,Yes,No,Yes,No,No,Yes,No
23,Yes,Yes,No,Yes,No,No,Yes,No
24,No,No,Yes,Yes,Yes,No,No,No
25,No,Yes,Yes,Yes,Yes,No,No,No
26,Yes,Yes,Yes,Yes,Yes,No,Yes,No
27,No,Yes,Yes,No,Yes,Yes,No,No
28,Yes,No,Yes,Yes,Yes,Yes,Yes,No
29,No,Yes,Yes,Yes,Yes,Yes,No,No
30,No,Yes,Yes,Yes,Yes,Yes,No,No
31,No,Yes,No,Yes,No,Yes,No,No
32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
33,Yes,Yes,Yes,No,Yes,Yes,Yes,No
34,Yes,Yes,Yes,No,Yes,Yes,Yes,No
35,No,Yes,Yes,No,Yes,No,No,No
36,No,Yes,Yes,No,Yes,No,No,No
37,Yes,Yes,Yes,No,Yes,Yes,Yes,No
38,Yes,No,Yes,No,Yes,No,Yes,No
39,Yes,No,No,No,No,No,Yes,No
