Place_ID,Local_Public_Transport,Rental_Bike_Car_Available,Nearby_RailwayStation,Nearby_Airport
1,No,Yes,Yes,Yes
2,No,Yes,Yes,Yes
3,No,Yes,Yes,Yes
4,No,Yes,Yes,Yes
5,No,Yes,Yes,Yes
6,No,Yes,Yes,Yes
7,No,Yes,Yes,Yes
8,No,Yes,Yes,Yes
9,No,Yes,Yes,Yes
10,No,Yes,Yes,Yes
11,No,Yes,Yes,Yes
12,No,Yes,Yes,Yes
13,No,Yes,Yes,Yes
14,No,Yes,Yes,Yes
15,No,Yes,Yes,Yes
16,No,Yes,Yes,Yes
17,No,Yes,Yes,Yes
18,No,Yes,Yes,Yes
19,No,Yes,Yes,Yes
20,No,Yes,Yes,Yes
21,No,Yes,Yes,Yes
22,No,Yes,Yes,Yes
23,No,Yes,Yes,Yes
24,No,Yes,Yes,Yes
25,No,Yes,Yes,Yes
26,No,Yes,Yes,Yes
27,No,Yes,No,No
28,No,Yes,Yes,Yes
29,No,Yes,Yes,Yes
30,No,Yes,Yes,Yes
31,No,Yes,Yes,Yes
32,No,Yes,Yes,Yes
33,No,Yes,Yes,Yes
34,No,Yes,Yes,Yes
35,No,Yes,Yes,Yes
36,No,Yes,Yes,Yes
37,No,Yes,Yes,Yes
38,No,Yes,Yes,Yes
39,No,Yes,Yes,Yes
40,No,Yes,Yes,Yes
41,No,Yes,Yes,Yes
42,No,Yes,Yes,Yes
43,No,Yes,Yes,Yes
44,No,Yes,Yes,Yes
45,No,Yes,Yes,Yes
46,No,Yes,Yes,Yes
47,No,Yes,Yes,Yes
48,No,Yes,Yes,Yes
49,No,Yes,Yes,Yes
50,No,Yes,Yes,Yes
51,No,Yes,Yes,Yes
52,No,Yes,Yes,Yes
53,No,Yes,No,Yes
54,No,Yes,No,Yes
55,No,Yes,No,Yes
56,No,Yes,No,Yes
57,No,Yes,No,Yes
58,No,Yes,No,Yes
59,No,Yes,No,Yes
60,No,Yes,No,Yes
61,No,Yes,No,Yes
62,No,Yes,No,Yes
63,No,Yes,No,Yes
64,No,Yes,No,Yes
65,No,Yes,No,Yes
66,No,Yes,No,Yes
67,No,Yes,Yes,Yes
68,No,Yes,No,No
69,No,Yes,No,No
70,No,Yes,No,Yes
71,No,Yes,No,Yes
72,No,Yes,No,No
73,No,Yes,No,Yes
74,No,Yes,No,No
75,No,Yes,No,No
76,No,Yes,Yes,Yes
77,No,Yes,Yes,Yes
78,No,Yes,Yes,Yes
79,No,Yes,Yes,Yes
80,No,Yes,Yes,Yes
81,No,Yes,No,Yes
82,No,Yes,No,No
83,No,Yes,No,No
84,No,Yes,No,No
85,No,Yes,No,Yes
86,No,Yes,No,Yes
87,No,Yes,No,No
88,No,Yes,No,No
89,No,Yes,No,Yes
90,No,Yes,Yes,Yes
91,No,Yes,Yes,Yes
92,No,Yes,No,Yes
93,No,Yes,No,Yes
94,No,Yes,No,Yes
95,No,Yes,No,Yes
96,No,Yes,No,Yes
97,No,Yes,No,Yes
98,No,Yes,No,No
99,No,Yes,No,Yes
100,No,Yes,No,Yes
101,No,Yes,No,Yes
102,No,Yes,No,No
103,No,Yes,No,No
104,No,Yes,No,Yes
105,No,Yes,No,Yes
106,No,Yes,No,No
107,No,Yes,No,Yes
108,No,Yes,No,Yes
109,No,Yes,No,No
110,No,Yes,No,Yes
111,No,Yes,No,Yes
112,No,Yes,No,Yes
113,No,Yes,No,No
114,No,Yes,No,No
115,No,Yes,No,No
116,No,Yes,No,No
117,No,Yes,No,No
118,No,Yes,No,No
119,No,Yes,No,Yes
120,No,Yes,No,Yes
121,No,Yes,No,No
122,No,Yes,No,No
123,No,Yes,No,No
124,No,Yes,Yes,Yes
125,No,Yes,No,Yes
126,No,Yes,No,Yes
127,No,Yes,No,Yes
128,No,Yes,No,Yes
129,No,Yes,No,No
130,No,Yes,Yes,Yes
131,No,Yes,No,Yes
132,No,Yes,No,Yes
133,No,Yes,No,No
134,No,Yes,No,No
135,No,Yes,No,Yes
136,No,Yes,No,Yes
137,No,Yes,No,No
138,No,Yes,Yes,Yes
139,No,Yes,Yes,Yes
140,No,Yes,No,Yes
141,No,Yes,No,Yes
142,No,Yes,No,No
143,No,Yes,No,No
144,No,Yes,No,No
145,No,Yes,No,No
146,No,Yes,No,No
147,No,Yes,No,No
148,No,Yes,No,No
149,No,Yes,No,No
150,No,Yes,No,No
151,No,Yes,No,Yes
152,No,Yes,No,No
153,No,Yes,No,Yes
154,No,Yes,No,No
155,No,Yes,No,No
156,No,Yes,No,No
157,No,Yes,No,No
158,No,Yes,No,No
159,No,Yes,No,Yes
160,No,Yes,No,Yes
161,No,Yes,No,No
162,No,Yes,No,No
163,No,Yes,No,Yes
164,No,Yes,No,No
165,No,Yes,No,Yes
166,No,Yes,No,No
167,No,Yes,No,No
168,No,Yes,No,Yes
169,No,Yes,No,Yes
170,No,Yes,No,Yes
171,No,Yes,No,Yes
172,No,Yes,No,Yes
173,No,Yes,No,Yes
174,No,Yes,No,No
175,No,Yes,No,No
176,No,Yes,No,No
177,No,Yes,No,No
178,No,Yes,No,Yes
179,No,Yes,No,No
180,No,Yes,No,No
181,No,Yes,No,No
182,No,Yes,No,Yes
183,No,Yes,No,Yes
184,No,Yes,Yes,Yes
185,No,Yes,No,Yes
186,No,Yes,No,Yes
187,No,Yes,No,Yes
188,No,Yes,No,Yes
189,No,Yes,No,Yes
190,No,Yes,No,Yes
191,No,Yes,No,Yes
192,No,Yes,No,Yes
193,No,Yes,No,Yes
194,No,Yes,No,Yes
195,No,Yes,No,Yes
196,No,Yes,No,Yes
197,No,Yes,No,Yes
198,No,Yes,No,No
199,No,Yes,No,Yes
200,No,Yes,No,No
201,No,Yes,No,No
202,No,Yes,No,Yes
203,No,Yes,No,No
204,No,Yes,No,No
205,No,Yes,No,No
206,No,Yes,No,No
207,No,Yes,No,No
208,No,Yes,No,No
209,No,Yes,No,Yes
210,No,Yes,No,Yes
211,No,Yes,No,Yes
212,No,Yes,No,Yes
213,No,Yes,No,Yes
214,No,Yes,No,Yes
215,No,Yes,No,Yes
216,No,Yes,No,No
217,No,Yes,No,Yes
218,No,Yes,No,No
219,No,Yes,No,No
220,No,Yes,No,Yes
221,No,Yes,No,Yes
222,No,Yes,No,Yes
223,No,Yes,No,Yes
224,No,Yes,No,Yes
225,No,Yes,No,No
226,No,Yes,No,Yes
227,No,Yes,No,Yes
228,No,Yes,No,Yes
229,No,Yes,No,No
230,No,Yes,No,Yes
231,No,Yes,No,No
232,No,Yes,No,Yes
233,No,Yes,No,Yes
234,No,Yes,No,No
235,No,Yes,No,Yes
236,No,Yes,No,No
237,No,Yes,Yes,Yes
238,No,Yes,No,Yes
239,No,Yes,No,No
240,No,Yes,No,Yes
241,No,Yes,No,Yes
242,No,Yes,No,Yes
243,No,Yes,No,No
244,No,Yes,No,Yes
245,No,Yes,No,Yes
246,No,Yes,No,No
247,No,Yes,No,Yes
248,No,Yes,No,Yes
249,No,Yes,No,Yes
250,No,Yes,No,Yes
251,No,Yes,No,No
252,No,Yes,No,Yes
253,No,Yes,No,No
254,No,Yes,No,Yes
255,No,Yes,No,Yes
256,No,Yes,No,Yes
257,No,Yes,No,No
258,No,Yes,No,Yes
259,No,Yes,No,Yes
260,No,Yes,No,Yes
261,No,Yes,No,Yes
262,No,Yes,No,No
263,No,Yes,No,Yes
264,No,Yes,No,Yes
265,No,Yes,No,Yes
266,No,Yes,No,Yes
267,No,Yes,No,Yes
268,No,Yes,No,No
269,No,Yes,No,Yes
